region,year,gamma_knife_devices,gamma_knife_exams,cyberknife_devices,cyberknife_exams,ventilator_devices,ventilator_patients,ecmo_devices,ecmo_patients,isolation_transport_devices,isolation_transport_patients
POLSKA ,2022.0,1.0,537.0,5.0,1045.0,17017.0,147779.0,172.0,813.0,2060.0,6966.0
POLAND,2023.0,2.0,1929.0,5.0,1563.0,17514.0,158379.0,188.0,875.0,810.0,4162.0
Dolnośląskie ,,,,,,1009.0,19456.0,11.0,49.0,198.0,489.0
Kujawsko-pomorskie ,,,,,,2008.0,5864.0,14.0,24.0,11.0,58.0
Lubelskie ,,,,,,818.0,14890.0,11.0,7.0,37.0,404.0
Lubuskie ,,,,,,721.0,3123.0,5.0,6.0,2.0,7.0
Łódzkie ,,,,,,1093.0,7735.0,15.0,52.0,214.0,100.0
Małopolskie ,,,,1.0,369.0,1627.0,14023.0,17.0,312.0,36.0,156.0
Mazowieckie ,,1.0,1389.0,1.0,200.0,2539.0,20525.0,38.0,191.0,92.0,1551.0
Opolskie ,,,,,,441.0,2380.0,4.0,18.0,36.0,40.0
Podkarpackie ,,,,,,524.0,4179.0,3.0,10.0,29.0,539.0
Podlaskie ,,,,,,414.0,3356.0,4.0,8.0,15.0,121.0
Pomorskie ,,,,,,871.0,4305.0,9.0,26.0,11.0,67.0
Śląskie ,,1.0,540.0,1.0,398.0,2136.0,27860.0,27.0,110.0,70.0,58.0
Świętokrzyskie ,,,,,,833.0,3671.0,5.0,2.0,32.0,25.0
Warmińsko-mazurskie ,,,,,,533.0,7840.0,2.0,13.0,7.0,
Wielkopolskie ,,,,2.0,596.0,1161.0,10471.0,14.0,33.0,11.0,532.0
Zachodniopomorskie ,,,,,,786.0,8701.0,9.0,14.0,9.0,15.0
