region,year,gamma_knife_devices,gamma_knife_exams,cyberknife_devices,cyberknife_exams,ventilator_devices,ventilator_patients,ecmo_devices,ecmo_patients,isolation_transport_devices,isolation_transport_patients,ventilator_ratio,ecmo_ratio,isolation_ratio,ventilator_ratio_adj,ecmo_ratio_adj,isolation_ratio_adj,equipment_level,equipment_level_capped,level_normalized
POLSKA ,2022.0,1.0,537.0,5.0,1045.0,17017.0,147779.0,172.0,813.0,2060.0,6966.0,0.11515167919663823,0.2115621156211562,0.2957220786678151,0.11517095639302213,0.2085914854107875,0.29872693559491537,0.23439830944272774,0.23439830944272774,0.12336173142346288
Dolnośląskie ,,,,,,1009.0,19456.0,11.0,49.0,198.0,489.0,0.05186060855263158,0.22448979591836735,0.4049079754601227,0.05200702944101645,0.17520158446878065,0.44771336064249584,0.2775497030921342,0.2775497030921342,0.1638653769673471
Kujawsko-pomorskie ,,,,,,2008.0,5864.0,14.0,24.0,11.0,58.0,0.3424283765347885,0.5833333333333334,0.1896551724137931,0.34291418226541887,0.48270323495709383,0.5505488509341461,0.3931065972117516,0.3931065972117516,0.27233175739530624
Lubelskie ,,,,,,818.0,14890.0,11.0,7.0,37.0,404.0,0.05493619879113499,1.5714285714285714,0.09158415841584158,0.055127519463023245,1.2264110912814645,0.1433956271143081,0.7827170059518576,0.7827170059518576,0.638035864753474
Lubuskie ,,,,,,721.0,3123.0,5.0,6.0,2.0,7.0,0.2308677553634326,0.8333333333333334,0.2857142857142857,0.2317799439015101,0.43081293982837526,3.2759761934543525,0.5364924480979032,0.5364924480979032,0.4069195236094526
Łódzkie ,,,,,,1093.0,7735.0,15.0,52.0,214.0,100.0,0.14130575307045895,0.28846153846153844,2.14,0.14167404845564527,0.24201687767250485,2.3493183335418046,1.028810418292624,1.028810418292624,0.8690291074079312
Małopolskie ,,,,1.0,369.0,1627.0,14023.0,17.0,312.0,36.0,156.0,0.11602367539043001,0.05448717948717949,0.23076923076923078,0.11622682484521259,0.04674640268900722,0.36494764970628507,0.1340815925911686,0.1340815925911686,0.029200398547539995
Mazowieckie ,,1.0,1389.0,1.0,200.0,2539.0,20525.0,38.0,191.0,92.0,1551.0,0.12370280146163215,0.19895287958115182,0.05931656995486783,0.12384159633639055,0.18630825988989663,0.07281227166613828,0.13270945131154951,0.13270945131154951,0.02791245117607455
Opolskie ,,,,,,441.0,2380.0,4.0,18.0,36.0,40.0,0.18529411764705883,0.2222222222222222,0.9,0.18649107764891432,0.08804875772056953,1.4232958338545116,0.4952778471001559,0.4952778471001559,0.3682338300810274
Podkarpackie ,,,,,,524.0,4179.0,3.0,10.0,29.0,539.0,0.12538884900693945,0.3,0.05380333951762523,0.12607053477014024,0.05848776389702515,0.09263790974801571,0.1781491499092537,0.1781491499092537,0.0705639924119312
Podlaskie ,,,,,,414.0,3356.0,4.0,8.0,15.0,121.0,0.1233611442193087,0.5,0.12396694214876033,0.12421000143159001,0.19810970487128143,0.29695730044777247,0.3006354942126495,0.3006354942126495,0.18553463539831697
Pomorskie ,,,,,,871.0,4305.0,9.0,26.0,11.0,67.0,0.20232288037166085,0.34615384615384615,0.16417910447761194,0.2029846143564265,0.2532645245757789,0.47659452767433536,0.2543082777992981,0.2543082777992981,0.14205003399965485
Śląskie ,,1.0,540.0,1.0,398.0,2136.0,27860.0,27.0,110.0,70.0,58.0,0.07666905958363245,0.24545454545454545,1.206896551724138,0.07677131244811257,0.2234988876270023,1.5677902302444908,0.6187577369761434,0.6187577369761434,0.4841370551766009
Świętokrzyskie ,,,,,,833.0,3671.0,5.0,2.0,32.0,25.0,0.22691364750749116,2.5,1.28,0.22768966625018144,1.2924388194851257,2.1172733341672187,1.7264731183983764,1.168342958313774,1.0
Warmińsko-mazurskie ,,,,,,533.0,7840.0,2.0,13.0,7.0,127.56844373821956,0.06798469387755102,0.15384615384615385,0.05487250447582906,0.06834805673525715,-0.031932489309980654,0.21895566439219702,0.1029723461141015,0.1029723461141015,0.0
Wielkopolskie ,,,,2.0,596.0,1161.0,10471.0,14.0,33.0,11.0,532.0,0.11087766211441123,0.42424242424242425,0.020676691729323307,0.11114972445844867,0.3510568981506137,0.06002224314695577,0.22123253400585027,0.22123253400585027,0.1110038014354242
Zachodniopomorskie ,,,,,,786.0,8701.0,9.0,14.0,9.0,15.0,0.0903344443167452,0.6428571428571429,0.6,0.09066185091419562,0.4703484027835894,1.9954555569453647,0.5587048514421451,0.5587048514421451,0.42776898490478527
