region,ventilator_devices,ventilator_patients,ecmo_devices,ecmo_patients,isolation_transport_devices,isolation_transport_patients,ventilator_ratio,ecmo_ratio,isolation_ratio,equipment_level,level_normalized
Dolnośląskie ,663.0,5686.0,8.0,35.0,92.0,1778.0,0.11660218079493492,0.22857142857142856,0.05174353205849269,0.14263568126794562,0.17352121059051762
Kujawsko-pomorskie ,1310.0,9140.0,9.0,18.0,8.0,324.0,0.14332603938730853,0.5,0.024691358024691357,0.26232258151660043,0.31912444000938484
Lubelskie ,675.0,7487.0,7.0,78.0,40.0,177.0,0.09015627086950714,0.08974358974358974,0.22598870056497175,0.14565360691546644,0.17719262090787186
Lubuskie ,344.0,3947.0,3.0,3.0,2.0,17.0,0.08715480111477071,1.0,0.11764705882352941,0.5286938702514196,0.643174271558858
Łódzkie ,1042.0,8616.0,9.0,60.0,588.0,2359.0,0.12093779015784586,0.15,0.24925816023738873,0.18720838051627087,0.2277454317959207
Małopolskie ,1301.0,11265.0,8.0,53.0,76.0,1844.0,0.11549045716822015,0.1509433962264151,0.04121475054229935,0.10170029880894424,0.1237219103233688
Mazowieckie ,1879.0,16616.0,28.0,150.0,322.0,1011.0,0.11308377467501203,0.18666666666666668,0.31849653808110784,0.23188696690758898,0.28209846835155566
Opolskie ,261.0,1933.0,4.0,12.0,18.0,508.0,0.13502327987584067,0.3333333333333333,0.03543307086614173,0.18739701930688563,0.22797491737078407
Podkarpackie ,563.0,4709.0,3.0,17.0,25.0,780.0,0.11955829263113188,0.17647058823529413,0.03205128205128205,0.1104291972273497,0.1343409153803016
Podlaskie ,397.0,3814.0,4.0,17.0,46.0,695.0,0.10409019402202412,0.23529411764705882,0.06618705035971223,0.15021574922424255,0.18274262388936952
Pomorskie ,684.0,6219.0,9.0,20.0,7.0,28.0,0.10998552821997105,0.45,0.25,0.3271982633863965,0.3980479376634193
Śląskie ,1689.0,16911.0,17.0,68.0,157.0,5649.0,0.0998758204718822,0.25,0.02779252965126571,0.14088003561364482,0.17138540728664461
Świętokrzyskie ,598.0,2835.0,3.0,12.0,50.0,40.0,0.2109347442680776,0.25,1.25,0.6553121693121693,0.7972097859590757
Warmińsko-mazurskie ,392.0,6266.0,1.0,4.0,425.0,250.0,0.06255984679221194,0.25,1.7,0.8220071816150654,1.0
Wielkopolskie ,815.0,8513.0,7.0,30.0,7.0,51.0,0.0957359332785152,0.23333333333333334,0.13725490196078433,0.17742948846401005,0.21584907338084283
Zachodniopomorskie ,634.0,4505.0,6.0,12.0,36.0,40.0,0.1407325194228635,0.5,0.9,0.6208879023307436,0.7553314815459811
Ź r ó d ł o: dane Ministerstwa Zdrowia i Ministerstwa Spraw Wewnętrznych i Administracji.,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
S o u r c e: data of the Ministry of Health and the Ministry of Interior and Administration.,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0
