TABL. 73.,INNY SPRZĘT MEDYCZNY WEDŁUG WOJEWÓDZTW,,,,,,,,,,,,,"powrót
back"
,OTHER MEDICAL EQUIPMENT BY VOIVODSHIPS,,,,,,,,,,,,,
"WOJEWÓDZTWA
VOIVODSHIPS",,,"Aparat kobaltowy GAMMAKNIFE
Cobalt apparatus GAMMAKNIFE",,"Medyczny akcelerator CYBERKNIFE
Medical accelerator CYBERKNIFE",,"Respirator
Ventilator",,"Urządzenie do pozaustrojowej oksygenacji krwi (ECMO)
Extracorporeal Membrane Oxygenation (ECMO)",,"Urządzenie do bezpiecznego transportu chorych w warunkach pełnej izolacji oddechowej
Device for safe transport of patients in conditions of complete respiratory isolation",,,
,,,"liczba urządzeń
number of equipment","liczba badań
number of diagnostic exams","liczba urządzeń
number of equipment","liczba badań
number of diagnostic exams","liczba urządzeń
number of equipment","liczba pacjentów poddanych terapii
number of patients treated","liczba urządzeń
number of equipment","liczba pacjentów poddanych terapii
number of patients treated","liczba urządzeń
number of equipment","liczba przetranspo-
rtowanych pacjentów
number of patients transported",,
POLSKA ,,2020 ,1 ,473 ,4 ,913 ,13247 ,118462 ,126 ,589 ,1899 ,15551 ,,
POLAND,,,,,,,,,,,,,,
Dolnośląskie ,,,- ,- ,- ,- ,663 ,5686 ,8 ,35 ,92 ,1778 ,,
Kujawsko-pomorskie ,,,- ,- ,- ,- ,1310 ,9140 ,9 ,18 ,8 ,324 ,,
Lubelskie ,,,- ,- ,- ,- ,675 ,7487 ,7 ,78 ,40 ,177 ,,
Lubuskie ,,,- ,- ,- ,- ,344 ,3947 ,3 ,3 ,2 ,17 ,,
Łódzkie ,,,- ,- ,- ,- ,1042 ,8616 ,9 ,60 ,588 ,2359 ,,
Małopolskie ,,,- ,- ,- ,- ,1301 ,11265 ,8 ,53 ,76 ,1844 ,,
Mazowieckie ,,,- ,- ,1 ,34 ,1879 ,16616 ,28 ,150 ,322 ,1011 ,,
Opolskie ,,,- ,- ,- ,- ,261 ,1933 ,4 ,12 ,18 ,508 ,,
Podkarpackie ,,,- ,- ,- ,- ,563 ,4709 ,3 ,17 ,25 ,780 ,,
Podlaskie ,,,- ,- ,- ,- ,397 ,3814 ,4 ,17 ,46 ,695 ,,
Pomorskie ,,,- ,- ,- ,- ,684 ,6219 ,9 ,20 ,7 ,28 ,,
Śląskie ,,,1 ,473 ,2 ,527 ,1689 ,16911 ,17 ,68 ,157 ,5649 ,,
Świętokrzyskie ,,,- ,- ,- ,- ,598 ,2835 ,3 ,12 ,50 ,40 ,,
Warmińsko-mazurskie ,,,- ,- ,- ,- ,392 ,6266 ,1 ,4 ,425 ,250 ,,
Wielkopolskie ,,,- ,- ,1 ,352 ,815 ,8513 ,7 ,30 ,7 ,51 ,,
Zachodniopomorskie ,,,- ,- ,- ,- ,634 ,4505 ,6 ,12 ,36 ,40 ,,
,,,,,,,,,,,,,,
Ź r ó d ł o: dane Ministerstwa Zdrowia i Ministerstwa Spraw Wewnętrznych i Administracji.,,,,,,,,,,,,,,
S o u r c e: data of the Ministry of Health and the Ministry of Interior and Administration.,,,,,,,,,,,,,,
