TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE W 2020 R. WED£UG WOJEW”DZTW;;;;;;;;;;;;;;;;;;;;"powrÛt
back"
;INCIDENCE OF INFECTIOUS DISEASES AND POISONINGS IN 2020 BY VOIVODSHIPS;;;;;;;;;;;;;;;;;;;;
CHOROBY;;"POLSKA
Poland";Dolno-úlπskie;Kujawsko-pomorskie;Lubelskie;Lubuskie;£Ûdzkie;Ma≥o-polskie;Mazo-wieckie;Opolskie;Podkar-packie;Podlaskie;Pomorskie;ålπskie;åwiÍto-krzyskie;WarmiÒ-sko-mazur-skie;Wielko-polskie;Zacho-dniopo-morskie;DISEASES;;
;;;;;;;;;;;;;;;;;;;;;
;;w liczbach bezwzglÍdnych   in absolute numbers;;;;;;;;;;;;;;;;;;;
TÍøec ;;2 ;- ;- ;1 ;- ;- ;1 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;Tetanus;;
Krztusiec ;;746 ;31 ;47 ;13 ;11 ;136 ;87 ;89 ;20 ;24 ;68 ;45 ;69 ;11 ;4 ;52 ;39 ;Whooping cough;;
Odra ;;29 ;1 ;- ;- ;- ;1 ;5 ;11 ;- ;2 ;- ;2 ;5 ;- ;- ;2 ;- ;Measles;;
WZW typu B ;;993 ;29 ;132 ;18 ;38 ;131 ;30 ;44 ;27 ;26 ;27 ;120 ;111 ;4 ;31 ;196 ;29 ;Viral hepatitis type B;;
WZW typu C ;;959 ;72 ;105 ;41 ;48 ;73 ;17 ;100 ;24 ;22 ;22 ;40 ;82 ;14 ;28 ;223 ;48 ;Viral hepatitis type C;;
WZW typu A ;;111 ;16 ;8 ;2 ;- ;24 ;4 ;4 ;2 ;2 ;3 ;7 ;13 ;- ;1 ;13 ;12 ;Viral hepatitis type A;;
RÛøyczka ;;98 ;7 ;5 ;1 ;4 ;6 ;9 ;6 ;3 ;11 ;2 ;16 ;15 ;2 ;- ;6 ;5 ;Rubella;;
AIDS ;;34 ;1 ;3 ;2 ;1 ;- ;6 ;2 ;3 ;3 ;3 ;1 ;4 ;- ;2 ;1 ;2 ;AIDS;;
Salmonellozy ;;5484 ;310 ;313 ;344 ;76 ;319 ;905 ;596 ;137 ;710 ;127 ;404 ;494 ;119 ;229 ;297 ;104 ;Other salmonella infections;;
Czerwonka bakteryjna ;;12 ;2 ;- ;- ;- ;1 ;2 ;4 ;- ;- ;- ;- ;- ;- ;- ;3 ;- ;Shigellosis;;
Inne bakteryjne zatrucia;;96 ;6 ;7 ;3 ;2 ;1 ;3 ;14 ;- ;1 ;4 ;18 ;23 ;3 ;5 ;4 ;2 ;Other bacterial ;;
 pokarmowe;;;;;;;;;;;;;;;;;;; foodborne intoxications;;
Biegunki u dzieci do lat 2 ;;14262 ;750 ;605 ;957 ;195 ;593 ;1960 ;2168 ;333 ;660 ;419 ;1445 ;1764 ;355 ;345 ;1314 ;399 ;Acute diarrhoea in;;
;;;;;;;;;;;;;;;;;;; children under 2 years;;
Szkarlatyna ;;7662 ;331 ;378 ;341 ;140 ;224 ;889 ;1612 ;190 ;325 ;181 ;651 ;1012 ;123 ;167 ;645 ;453 ;Scarlet fever;;
Bakteryjne zapalenie opon ;;244 ;14 ;22 ;14 ;6 ;13 ;21 ;17 ;8 ;16 ;5 ;13 ;27 ;8 ;11 ;30 ;19 ;Bacterial meningitis ;;
  mÛzgowych i/lub mÛzgu ;;;;;;;;;;;;;;;;;;; and/or encephalitis;;
Wirusowe zapalenie opon ;;264 ;13 ;12 ;13 ;7 ;6 ;26 ;28 ;9 ;12 ;21 ;21 ;20 ;7 ;34 ;25 ;10 ;Viral meningitis;;
  mÛzgowych ;;;;;;;;;;;;;;;;;;;;;
Wirusowe zapalenie mÛzgu ;;193 ;10 ;4 ;6 ;- ;3 ;13 ;21 ;2 ;1 ;84 ;3 ;3 ;4 ;33 ;2 ;4 ;Viral encephalitis;;
åwinka ;;582 ;21 ;41 ;19 ;19 ;25 ;66 ;105 ;15 ;26 ;18 ;33 ;71 ;24 ;17 ;49 ;33 ;Mumps ;;
W≥oúnica ;;20 ;- ;10 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;10 ;- ;Trichinellosis;;
Grypa ;;3160711 ;182531 ;182907 ;124136 ;30697 ;165363 ;272815 ;562328 ;38180 ;62242 ;61598 ;513655 ;308885 ;54743 ;71667 ;475995 ;52969 ;Influenza;;
Szczepieni przeciw wúciekliünie ;;4401 ;131 ;326 ;236 ;88 ;293 ;559 ;508 ;51 ;413 ;195 ;252 ;343 ;147 ;353 ;289 ;217 ;Rabies vaccinations;;
;;;;;;;;;;;;;;;;;;;;;
è†r†Û†d†≥†o: dane Narodowego Instytutu Zdrowia Publicznego PZH ñ PaÒstwowego Instytutu Badawczego.;;;;;;;;;;;;;;;;;;;;;
S†o†u†r†c†e: data of the National Institute of Public Health NIH ñ National Research Institute.;;;;;;;;;;;;;;;;;;;;;
TABL. 1.;ZACHOROWANIA NA NIEKT”RE CHOROBY ZAKAèNE W 2020 R. WED£UG WOJEW”DZTW (dok.);;;;;;;;;;;;;;;;;;;;
;INCIDENCE OF INFECTIOUS DISEASES AND POISONINGS IN 2020 BY VOIVODSHIPS (cont.);;;;;;;;;;;;;;;;;;;;
CHOROBY;;"POLSKA
Poland";Dolno-úlπskie;Kujawsko-pomorskie;Lubelskie;Lubuskie;£Ûdzkie;Ma≥o-polskie;Mazo-wieckie;Opolskie;Podkar-packie;Podlaskie;Pomorskie;ålπskie;åwiÍto-krzyskie;WarmiÒ-sko-mazur-skie;Wielko-polskie;Zacho-dniopo-morskie;DISEASES;;
;;;;;;;;;;;;;;;;;;;;;
;;na 100 tys. ludnoúci   per 100 thousand population;;;;;;;;;;;;;;;;;;;
TÍøec ;;0,0 ;- ;- ;0,0 ;- ;- ;0,0 ;- ;- ;- ;- ;- ;- ;- ;- ;- ;- ;Tetanus;;
Krztusiec ;;1,9 ;1,1 ;2,3 ;0,6 ;1,1 ;5,6 ;2,5 ;1,6 ;2,0 ;1,1 ;5,8 ;1,9 ;1,5 ;0,9 ;0,3 ;1,5 ;2,3 ;Whooping cough;;
Odra ;;0,1 ;0,0 ;- ;- ;- ;0,0 ;0,1 ;0,2 ;- ;0,1 ;- ;0,1 ;0,1 ;- ;- ;0,1 ;- ;Measles;;
WZW typu B ;;2,6 ;1,0 ;6,4 ;0,9 ;3,8 ;5,3 ;0,9 ;0,8 ;2,8 ;1,2 ;2,3 ;5,1 ;2,5 ;0,3 ;2,2 ;5,6 ;1,7 ;Viral hepatitis type B;;
WZW typu C ;;2,5 ;2,5 ;5,1 ;1,9 ;4,8 ;3,0 ;0,5 ;1,8 ;2,4 ;1,0 ;1,9 ;1,7 ;1,8 ;1,1 ;2,0 ;6,4 ;2,8 ;Viral hepatitis type C;;
WZW typu A ;;0,3 ;0,6 ;0,4 ;0,1 ;- ;1,0 ;0,1 ;0,1 ;0,2 ;0,1 ;0,3 ;0,3 ;0,3 ;- ;0,1 ;0,4 ;0,7 ;Viral hepatitis type A;;
RÛøyczka ;;0,3 ;0,2 ;0,2 ;0,0 ;0,4 ;0,2 ;0,3 ;0,1 ;0,3 ;0,5 ;0,2 ;0,7 ;0,3 ;0,2 ;- ;0,2 ;0,3 ;Rubella;;
